date,title,geo_lat,geo_lon,connecting_railway,operator,railway,station_code
2019-07-16 14:00:00+09:00,境町,36.27716,139.25626,0,Tobu,Tobu.Isesaki,TI-22
2019-07-16 14:00:00+09:00,世良田,36.27294,139.28197,0,Tobu,Tobu.Isesaki,TI-21
2019-07-16 14:00:00+09:00,新伊勢崎,36.31809,139.20182,0,Tobu,Tobu.Isesaki,TI-24
2019-07-16 14:00:00+09:00,多々良,36.27368,139.50032,0,Tobu,Tobu.Isesaki,TI-11
2019-07-16 14:00:00+09:00,館林,36.24662,139.52781,1,Tobu,Tobu.Isesaki,TI-10
2019-07-16 14:00:00+09:00,東武動物公園,36.0247,139.72689,1,Tobu,Tobu.Isesaki,TS-30
2019-07-16 14:00:00+09:00,東武和泉,36.31565,139.45509,0,Tobu,Tobu.Isesaki,TI-14
2019-07-16 14:00:00+09:00,和戸,36.03964,139.7011,0,Tobu,Tobu.Isesaki,TI-01
2019-07-16 14:00:00+09:00,鷲宮,36.09633,139.65696,0,Tobu,Tobu.Isesaki,TI-03
2019-07-16 14:00:00+09:00,野州山辺,36.32629,139.43201,0,Tobu,Tobu.Isesaki,TI-16
2019-07-16 14:00:00+09:00,東あずま,35.70738,139.8316,0,Tobu,Tobu.Kameido,TS-42
2019-07-16 14:00:00+09:00,曳舟,35.71851,139.81667,1,Tobu,Tobu.Kameido,TS-04
2019-07-16 14:00:00+09:00,亀戸水神,35.69994,139.83339,0,Tobu,Tobu.Kameido,TS-43
2019-07-16 14:00:00+09:00,亀戸,35.69773,139.8272,1,Tobu,Tobu.Kameido,TS-44
2019-07-16 14:00:00+09:00,小村井,35.71032,139.82761,0,Tobu,Tobu.Kameido,TS-41
2019-07-16 14:00:00+09:00,大谷向,36.73228,139.69194,0,Tobu,Tobu.Kinugawa,TN-51
2019-07-16 14:00:00+09:00,鬼怒川公園,36.84158,139.72282,0,Tobu,Tobu.Kinugawa,TN-57
2019-07-16 14:00:00+09:00,鬼怒川温泉,36.82252,139.71668,0,Tobu,Tobu.Kinugawa,TN-56
2019-07-16 14:00:00+09:00,小佐越,36.80224,139.7065,0,Tobu,Tobu.Kinugawa,TN-54
2019-07-16 14:00:00+09:00,大桑,36.76082,139.71358,0,Tobu,Tobu.Kinugawa,TN-52
2019-07-16 14:00:00+09:00,下今市,36.7256,139.69277,1,Tobu,Tobu.Kinugawa,TN-23
2019-07-16 14:00:00+09:00,新藤原,36.85246,139.73301,1,Tobu,Tobu.Kinugawa,TN-58
2019-07-16 14:00:00+09:00,新高徳,36.77977,139.71071,0,Tobu,Tobu.Kinugawa,TN-53
2019-07-16 14:00:00+09:00,東武ワールドスクウェア,36.80833,139.70889,0,Tobu,Tobu.Kinugawa,TN-55
2019-07-16 14:00:00+09:00,相老,36.41064,139.30392,0,Tobu,Tobu.Kiryu,TI-56
2019-07-16 14:00:00+09:00,赤城,36.42562,139.27678,0,Tobu,Tobu.Kiryu,TI-57
2019-07-16 14:00:00+09:00,阿左美,36.38509,139.30653,0,Tobu,Tobu.Kiryu,TI-54
2019-07-16 14:00:00+09:00,治良門橋,36.33302,139.34137,0,Tobu,Tobu.Kiryu,TI-52
2019-07-16 14:00:00+09:00,太田,36.29421,139.37877,1,Tobu,Tobu.Kiryu,TI-18
2019-07-16 14:00:00+09:00,三枚橋,36.3134,139.35497,0,Tobu,Tobu.Kiryu,TI-51
2019-07-16 14:00:00+09:00,新桐生,36.39505,139.32009,0,Tobu,Tobu.Kiryu,TI-55
2019-05-27 16:00:00+09:00,勝沼ぶどう郷,35.67266,138.74296,0,JR-East,JR-East.Chuo,
2019-07-16 14:00:00+09:00,藪塚,36.35872,139.31582,0,Tobu,Tobu.Kiryu,TI-53
2019-07-16 14:00:00+09:00,東小泉,36.25972,139.42856,1,Tobu,Tobu.Koizumi,TI-44
2019-07-16 14:00:00+09:00,本中野,36.25845,139.46954,0,Tobu,Tobu.Koizumi,TI-42
2019-07-16 14:00:00+09:00,小泉町,36.26153,139.42025,0,Tobu,Tobu.Koizumi,TI-45
2019-07-16 14:00:00+09:00,成島,36.24908,139.50557,0,Tobu,Tobu.Koizumi,TI-41
2019-07-16 14:00:00+09:00,西小泉,36.25866,139.40851,0,Tobu,Tobu.Koizumi,TI-46
2019-07-16 14:00:00+09:00,篠塚,36.25681,139.44609,0,Tobu,Tobu.Koizumi,TI-43
2019-07-16 14:00:00+09:00,館林,36.24662,139.52781,1,Tobu,Tobu.Koizumi,TI-10
2019-07-16 14:00:00+09:00,東小泉,36.25972,139.42856,1,Tobu,Tobu.KoizumiBranch,TI-44
2019-07-16 14:00:00+09:00,太田,36.29421,139.37877,1,Tobu,Tobu.KoizumiBranch,TI-18
2019-07-16 14:00:00+09:00,竜舞,36.27885,139.4091,0,Tobu,Tobu.KoizumiBranch,TI-47
2019-07-16 14:00:00+09:00,藤岡,36.25559,139.6456,0,Tobu,Tobu.Nikko,TN-08
2019-07-16 14:00:00+09:00,家中,36.42979,139.74745,0,Tobu,Tobu.Nikko,TN-14
2019-07-16 14:00:00+09:00,板荷,36.6194,139.70778,0,Tobu,Tobu.Nikko,TN-20
2019-07-16 14:00:00+09:00,板倉東洋大前,36.2222,139.64862,0,Tobu,Tobu.Nikko,TN-07
2019-07-16 14:00:00+09:00,上今市,36.72801,139.68086,0,Tobu,Tobu.Nikko,TN-24
2019-07-16 14:00:00+09:00,合戦場,36.40758,139.74102,0,Tobu,Tobu.Nikko,TN-13
2019-07-16 14:00:00+09:00,北鹿沼,36.58068,139.73776,0,Tobu,Tobu.Nikko,TN-19
2019-07-16 14:00:00+09:00,栗橋,36.13785,139.69403,1,Tobu,Tobu.Nikko,TN-04
2019-07-16 14:00:00+09:00,南栗橋,36.11314,139.71283,0,Tobu,Tobu.Nikko,TN-03
2019-07-16 14:00:00+09:00,樅山,36.53333,139.74174,0,Tobu,Tobu.Nikko,TN-17
2019-07-16 14:00:00+09:00,明神,36.67656,139.71221,0,Tobu,Tobu.Nikko,TN-22
2019-07-16 14:00:00+09:00,楡木,36.50688,139.74527,0,Tobu,Tobu.Nikko,TN-16
2019-07-16 14:00:00+09:00,幸手,36.07407,139.71491,0,Tobu,Tobu.Nikko,TN-02
2019-07-16 14:00:00+09:00,下小代,36.65111,139.71395,0,Tobu,Tobu.Nikko,TN-21
2019-07-16 14:00:00+09:00,下今市,36.7256,139.69277,1,Tobu,Tobu.Nikko,TN-23
2019-07-16 14:00:00+09:00,新鹿沼,36.55683,139.74478,0,Tobu,Tobu.Nikko,TN-18
2019-07-16 14:00:00+09:00,新古河,36.1927,139.68702,0,Tobu,Tobu.Nikko,TN-05
2019-07-16 14:00:00+09:00,新大平下,36.33897,139.70187,0,Tobu,Tobu.Nikko,TN-10
2019-07-16 14:00:00+09:00,新栃木,36.39006,139.74235,1,Tobu,Tobu.Nikko,TN-12
2019-07-16 14:00:00+09:00,静和,36.31653,139.68493,0,Tobu,Tobu.Nikko,TN-09
2019-07-16 14:00:00+09:00,杉戸高野台,36.05135,139.71454,0,Tobu,Tobu.Nikko,TN-01
2019-07-16 14:00:00+09:00,東武動物公園,36.0247,139.72689,1,Tobu,Tobu.Nikko,TS-30
2019-07-16 14:00:00+09:00,東武金崎,36.4663,139.74948,0,Tobu,Tobu.Nikko,TN-15
2019-04-25 16:00:00+09:00,萩山,35.7404,139.47745,1,Seibu,Seibu.Haijima,SS30
2019-04-25 16:00:00+09:00,拝島,35.72121,139.34436,1,Seibu,Seibu.Haijima,SS36
2019-04-25 16:00:00+09:00,東大和市,35.73286,139.43432,0,Seibu,Seibu.Haijima,SS32
2019-07-16 14:00:00+09:00,東武日光,36.74809,139.61993,1,Tobu,Tobu.Nikko,TN-25
2019-04-25 16:00:00+09:00,小平,35.73701,139.48829,1,Seibu,Seibu.Haijima,SS19
2019-04-25 16:00:00+09:00,武蔵砂川,35.72902,139.39223,0,Seibu,Seibu.Haijima,SS34
2019-04-25 16:00:00+09:00,小川,35.73748,139.46353,1,Seibu,Seibu.Haijima,SS31
2018-08-10 13:00:00+09:00,印旛日本医大,,,1,Hokuso,Hokuso.Hokuso,HS14
2019-04-25 16:00:00+09:00,西武立川,35.72611,139.37026,0,Seibu,Seibu.Haijima,SS35
2019-04-25 16:00:00+09:00,玉川上水,35.73192,139.41825,0,Seibu,Seibu.Haijima,SS33
2019-04-25 16:00:00+09:00,吾野,35.90841,139.22671,1,Seibu,Seibu.Ikebukuro,SI31
2019-04-25 16:00:00+09:00,秋津,35.77829,139.49674,1,Seibu,Seibu.Ikebukuro,SI16
2019-04-25 16:00:00+09:00,仏子,35.83787,139.36003,0,Seibu,Seibu.Ikebukuro,SI24
2019-04-25 16:00:00+09:00,江古田,35.73736,139.67275,0,Seibu,Seibu.Ikebukuro,SI04
