date,title,ascending_direction,descending_direction,line_code,operator
2019-07-16 14:00:00+09:00,高尾線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KO,Keio
2019-07-16 14:00:00+09:00,大師線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TS,Tobu
2019-07-16 14:00:00+09:00,伊勢崎線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,Tobu
2019-07-16 14:00:00+09:00,亀戸線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TS,Tobu
2019-07-16 14:00:00+09:00,鬼怒川線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TN,Tobu
2019-07-16 14:00:00+09:00,桐生線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TI,Tobu
2019-07-16 14:00:00+09:00,小泉線(東小泉-太田),odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TI,Tobu
2019-07-16 14:00:00+09:00,小泉線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TI,Tobu
2019-07-16 14:00:00+09:00,日光線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,,Tobu
2019-07-16 14:00:00+09:00,越生線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TJ,Tobu
2019-07-16 14:00:00+09:00,佐野線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TI,Tobu
2019-07-16 14:00:00+09:00,東武スカイツリーライン(押上-曳舟),odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TS,Tobu
2019-07-16 14:00:00+09:00,東武スカイツリーライン,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TS,Tobu
2019-07-16 14:00:00+09:00,東武アーバンパークライン,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TD,Tobu
2019-07-16 14:00:00+09:00,東上線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TJ,Tobu
2019-07-16 14:00:00+09:00,宇都宮線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TN,Tobu
2019-07-16 14:00:00+09:00,田園都市線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,DT,Tokyu
2019-07-16 14:00:00+09:00,池上線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,IK,Tokyu
2019-07-16 14:00:00+09:00,こどもの国線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,KD,Tokyu
2019-07-16 14:00:00+09:00,目黒線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,MG,Tokyu
2019-07-16 14:00:00+09:00,大井町線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,OM,Tokyu
2019-07-16 14:00:00+09:00,世田谷線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,SG,Tokyu
2019-07-16 14:00:00+09:00,東急多摩川線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TM,Tokyu
2019-07-16 14:00:00+09:00,東横線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,TY,Tokyu
2019-07-16 14:00:00+09:00,りんかい線,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,R,TWR
2019-07-16 14:00:00+09:00,ゆりかもめ,odpt.RailDirection:Outbound,odpt.RailDirection:Inbound,U,Yurikamome
